iter	Accuracy	MultiClass
71	0.3210398414	1.997821779
72	0.321704604	1.99497154
73	0.322303076	1.993929604
74	0.3223077476	1.99391793
75	0.3224043969	1.990961018
76	0.3217496027	1.989934654
77	0.3215185177	1.988702778
78	0.3231281088	1.987024733
79	0.3231723955	1.985958289
80	0.3242611389	1.984321543
81	0.3236600272	1.983593356
82	0.3237475901	1.983471747
83	0.3248673535	1.981580972
84	0.3241679503	1.98073618
85	0.3242119064	1.979607107
86	0.3241857399	1.97785499
87	0.3255069114	1.976519935
88	0.3257033862	1.97490195
89	0.3253791934	1.97360995
90	0.3257251734	1.972594753
91	0.3257298449	1.97259472
92	0.3257321807	1.97259469
93	0.3258843567	1.972349646
94	0.3260275077	1.97218193
95	0.3256664684	1.970630707
96	0.3255775894	1.970630681
97	0.32543986	1.969798015
98	0.3254445315	1.969797993
99	0.3259840983	1.9696882
100	0.3266048274	1.96820793
101	0.3267408052	1.968127327
102	0.3268345018	1.967665081
103	0.3264020684	1.966439745
104	0.3275526472	1.965361058
105	0.3284108514	1.964409106
106	0.3284617812	1.963378346
107	0.3284312484	1.961131742
108	0.3287838333	1.960386947
109	0.3293512056	1.959961755
110	0.3300248808	1.959235503
111	0.3306324713	1.957687838
112	0.3304986236	1.95742066
113	0.3306146655	1.956854816
114	0.3313151181	1.956544387
115	0.3314762185	1.956482162
116	0.3314882628	1.955578329
117	0.3317709673	1.95430914
118	0.3330612493	1.953194989
119	0.3323782555	1.952846765
120	0.3328265143	1.952321244
121	0.3327610996	1.95192761
122	0.3330408008	1.951206064
123	0.3331164552	1.9505405
124	0.3331164552	1.950533659
125	0.3329096477	1.950262277
126	0.3329441173	1.950206761
127	0.3329441173	1.950206754
128	0.3329928111	1.950144927
129	0.3327916411	1.949221714
130	0.3329481687	1.948088452
131	0.3333648962	1.947676581
132	0.3335267109	1.947393292
133	0.3335582968	1.946668287
134	0.3335053229	1.945784247
135	0.3342459277	1.944832914
136	0.334438032	1.944761404
137	0.3351942959	1.944023292
138	0.3349597241	1.943206782
139	0.3350360593	1.942891368
140	0.3353035921	1.94148917
141	0.3352530122	1.941485449
142	0.335330853	1.94126952
143	0.3353320604	1.941269515
144	0.3353373222	1.940214761
145	0.3351916043	1.939288004
146	0.3350870537	1.939182905
147	0.3352251778	1.939137687
148	0.3356690692	1.938685289
149	0.3356393396	1.938208384
150	0.3353448835	1.937770678
151	0.3352500276	1.937453665
152	0.3350818976	1.937236206
153	0.3351361836	1.936586569
154	0.3352141574	1.935894927
155	0.336956909	1.934596761
156	0.336984045	1.934567103
157	0.3370163078	1.934565439
158	0.3375369788	1.93425228
159	0.3378843282	1.933477654
160	0.3375057213	1.93264589
161	0.3374552433	1.931884046
162	0.337368408	1.931600129
163	0.3376940366	1.930613834
164	0.3377513288	1.930437873
165	0.3386955884	1.929659093
166	0.3386047508	1.928892198
167	0.3386159621	1.928593569
168	0.3384122082	1.928477361
169	0.3385570284	1.928384219
170	0.3387635351	1.927606144
171	0.3387715741	1.927605023
172	0.3384706022	1.92722872
173	0.3396412537	1.925966265
174	0.3396652594	1.925598321
175	0.3396652594	1.925595641
176	0.3396652594	1.925595638
177	0.3398293154	1.92553245
178	0.3399653609	1.925333791
179	0.3407186524	1.924764711
180	0.3404098048	1.924417841
181	0.3404329692	1.924290045
182	0.340572111	1.924225063
183	0.3406742913	1.924000689
184	0.3406730839	1.924000598
185	0.340662921	1.923094968
186	0.3409565707	1.922661638
187	0.3408644037	1.922443253
188	0.340973518	1.922233162
189	0.341682861	1.92172393
190	0.341682861	1.921723928
191	0.3428084938	1.919704853
192	0.3428990406	1.919612405
193	0.3428185677	1.919599868
194	0.343114588	1.919171692
195	0.3435357402	1.918563869
196	0.3434644739	1.917963869
197	0.3435742489	1.917392712
198	0.3435720621	1.917145388
199	0.3438447085	1.916088464
200	0.3439724144	1.915897825
201	0.3440676132	1.915170471
202	0.3440968347	1.9148563
203	0.3442583643	1.914815401
204	0.344346755	1.91473838
205	0.3442853608	1.914710304
206	0.3440402955	1.914425379
207	0.3440540377	1.914414297
208	0.3441251496	1.914359394
209	0.3437891906	1.913876834
210	0.3441632843	1.913615842
211	0.3444633364	1.913226719
212	0.3444515372	1.912994257
213	0.344106345	1.91241036
214	0.3446555637	1.911979379
215	0.3444647158	1.91170068
216	0.3445488109	1.911611681
217	0.3448559098	1.911379202
218	0.3448559098	1.9113792
219	0.3448453675	1.911010955
220	0.3452835293	1.910412096
221	0.3452835293	1.910412094
222	0.3456803528	1.910188841
223	0.3456803528	1.910188839
224	0.3457133994	1.908808895
225	0.3456423989	1.90877099
226	0.3461966583	1.907320356
227	0.34648228	1.906843321
228	0.3474219265	1.905545113
229	0.3471802357	1.904494662
230	0.3478091466	1.903457025
231	0.3477140421	1.902371284
232	0.3481335236	1.901940146
233	0.3481335236	1.901940141
234	0.3485103973	1.901581725
235	0.3486944874	1.900379343
236	0.3490043838	1.900057667
237	0.3491885281	1.899828131
238	0.3488520019	1.899086475
239	0.3493990567	1.898733888
240	0.3500025795	1.898211866
241	0.3500084585	1.898202623
242	0.3503848317	1.897474496
243	0.3502397062	1.89646405
244	0.3501450369	1.895274846
245	0.3502182127	1.894540604
246	0.3513228154	1.892884008
247	0.3514913181	1.892472947
248	0.3523427058	1.891481866
249	0.352490582	1.890821876
250	0.3530364527	1.88929892
251	0.3531910058	1.888409896
252	0.3536730612	1.887328165
253	0.3538203513	1.886562492
254	0.3536292239	1.885098107
255	0.3550811169	1.883514554
256	0.3549047331	1.882292158
257	0.3553021503	1.881309934
258	0.3553129386	1.879668738
259	0.3558653614	1.87901629
260	0.3558701929	1.878250356
261	0.3557559421	1.877246505
262	0.3568571988	1.87629441
263	0.3576166953	1.874727423
264	0.3580656542	1.873917464
265	0.3583637188	1.87186891
266	0.3587856718	1.871123728
267	0.3593980159	1.870212775
268	0.3595889116	1.868953929
269	0.3604745392	1.867428292
270	0.3598099439	1.866493079
271	0.3604956069	1.865224939
272	0.3623421816	1.863345659
273	0.3614691446	1.861894712
274	0.3620971911	1.860771407
275	0.362073285	1.860250013
276	0.3622157142	1.859443242
277	0.361973034	1.857812062
278	0.362291103	1.856688909
279	0.3636963284	1.855302046
280	0.3647393577	1.854276263
281	0.365445429	1.853457399
282	0.365398491	1.852547775
283	0.3652313629	1.850616909
284	0.365617534	1.849542253
285	0.3671762737	1.848307122
286	0.3670585222	1.847202027
287	0.3673884556	1.846208632
288	0.3677352377	1.844484091
289	0.3679940249	1.843708604
290	0.3684268455	1.842724482
291	0.3691656482	1.841101404
292	0.369772433	1.840437241
293	0.3699932251	1.839777235
294	0.370908303	1.837875895
295	0.3714980763	1.83734296
296	0.3714889935	1.836872498
297	0.3713427907	1.835738996
298	0.3724285736	1.834976533
299	0.3732157077	1.833856611
300	0.3736237819	1.832497933
301	0.3737504839	1.831652599
302	0.3742713059	1.830767148
303	0.3746894218	1.830124374
304	0.3748791888	1.829499119
305	0.3745899612	1.827829692
306	0.3752244442	1.82672531
307	0.3758073515	1.82523164
308	0.3762301178	1.824236949
309	0.3770797097	1.822958244
310	0.3771944601	1.821891468
311	0.3779802771	1.82134233
312	0.3783754844	1.820266716
313	0.3784402931	1.819007486
314	0.3782834105	1.817781496
315	0.3785331137	1.81643609
316	0.3799892534	1.815204516
317	0.3802472553	1.814629008
318	0.3812461061	1.813447415
319	0.3811134469	1.81294896
320	0.3813111609	1.812391867
321	0.3822155865	1.811842529
322	0.3818428501	1.811199155
323	0.3825748743	1.809789448
324	0.3827014428	1.809046552
325	0.3829730215	1.808380092
326	0.3835636038	1.808015374
327	0.3835283822	1.807254124
328	0.384870951	1.806173965
329	0.3851431423	1.805098422
330	0.3847560314	1.804644272
331	0.3849501352	1.803632613
332	0.38591413	1.802416776
333	0.3863746902	1.801302217
334	0.3865788667	1.800304121
335	0.3869851355	1.799593839
336	0.386615721	1.799005885
337	0.3866718179	1.797949241
338	0.388219688	1.796621672
339	0.3879114072	1.795952713
340	0.3889895727	1.794576307
341	0.3889429409	1.793500862
342	0.3894656689	1.792606635
343	0.3905330831	1.791607098
344	0.3905290619	1.791358581
345	0.3915771958	1.79023683
346	0.3918798598	1.789457636
347	0.3924018026	1.788483256
348	0.3931881556	1.787447914
349	0.3938616812	1.786251484
350	0.3939858384	1.785065616
351	0.3940348065	1.784562618
352	0.3941604878	1.783655007
353	0.394303612	1.782939637
354	0.3951528729	1.781599113
355	0.3953928643	1.780894421
356	0.3959347836	1.7803377
357	0.396193721	1.779434984
358	0.3967307113	1.778270515
359	0.3968024734	1.77763333
360	0.3972710544	1.776859628
361	0.3974787198	1.77625952
362	0.3978851631	1.775132663
363	0.3980870196	1.774758575
364	0.3987864036	1.774373649
365	0.3999492117	1.773712976
366	0.4000098525	1.773083992
367	0.4000676913	1.772252253
368	0.4006081295	1.771496734
369	0.4011736524	1.770841105
370	0.401042887	1.770296221
371	0.4018096298	1.769612964
372	0.4019558865	1.768654058
373	0.4018574235	1.767951288
374	0.4017669409	1.767725901
375	0.4016091401	1.767101798
376	0.4025299392	1.766037502
377	0.4025933859	1.765607923
378	0.4033717513	1.764320933
379	0.4046833197	1.763194976
380	0.4047537394	1.762470664
381	0.4047213018	1.762151319
382	0.4047888026	1.762055025
383	0.4046074922	1.760677637
384	0.4044764232	1.759897865
385	0.405590014	1.758842788
386	0.4061412754	1.758029982
387	0.405625083	1.75729505
388	0.4055737109	1.756243596
389	0.4056593255	1.755611156
390	0.4070719516	1.754785792
391	0.4072613537	1.754212683
392	0.4076601352	1.753769577
393	0.4081266982	1.753292017
394	0.4085069377	1.753051833
395	0.4087521429	1.752106014
396	0.4088213266	1.751730609
397	0.4090932286	1.751116072
398	0.4094271945	1.750679551
399	0.4093582617	1.749925652
400	0.4098907309	1.748842082
401	0.4102592401	1.748024519
402	0.4105118354	1.747292782
403	0.4108602486	1.746766468
404	0.4111313976	1.745897664
405	0.4124513893	1.74487859
406	0.4124930257	1.744525018
407	0.4134058021	1.743734218
408	0.413816269	1.742913827
409	0.4143844912	1.741990283
410	0.4145062921	1.741264278
411	0.4146113298	1.740833359
412	0.4146377053	1.740390589
413	0.4150419758	1.739679086
414	0.4154914341	1.739311123
415	0.4153911653	1.738734503
416	0.4155653151	1.738171612
417	0.4158892488	1.737520951
418	0.4164626995	1.736536967
419	0.416338854	1.736083108
420	0.415833736	1.735479141
421	0.4160818871	1.734978101
422	0.4161993842	1.734200005
423	0.4174655863	1.73323421
424	0.4177146886	1.732680419
425	0.4180400005	1.732072986
426	0.4179104911	1.731158635
427	0.4180730348	1.730565669
428	0.4174726942	1.729741364
429	0.4176306077	1.729105857
430	0.4178470295	1.728404005
431	0.4183102355	1.728043602
432	0.4186509819	1.727404723
433	0.4184265049	1.726649553
434	0.418585377	1.725972541
435	0.4189581085	1.725066624
436	0.4192720672	1.724330266
437	0.4195728255	1.723442642
438	0.4205042494	1.722536986
439	0.42020209	1.721782576
440	0.4207420376	1.72138193
441	0.4211749662	1.720418348
442	0.4214228267	1.719911334
443	0.4214139675	1.719447436
444	0.4216956673	1.718965013
445	0.4217203837	1.718122781
446	0.4234690409	1.717035534
447	0.4238643352	1.716556261
448	0.423752914	1.715790995
449	0.4240512733	1.715242884
450	0.4243359915	1.714892192
451	0.4243960275	1.714168559
452	0.4247613124	1.713531958
453	0.4253735195	1.712631729
454	0.4255037129	1.712081877
455	0.4257046775	1.711615681
456	0.4260286248	1.710764601
457	0.4265397961	1.710297006
458	0.4262589313	1.709951291
459	0.4270531492	1.709104538
460	0.4274290891	1.708308314
461	0.4283512193	1.707653699
462	0.4283626214	1.706884263
463	0.4289529882	1.706192581
464	0.4285451804	1.705729117
465	0.4287132134	1.705222831
466	0.4293835914	1.704527315
467	0.429552404	1.704263835
468	0.4300194859	1.703790336
469	0.4303366254	1.703369502
470	0.4303479534	1.703049342
471	0.4307709527	1.702223533
472	0.4309725741	1.701756297
473	0.4311314338	1.701077542
474	0.431672123	1.700582054
475	0.4318367738	1.699891395
476	0.4320846259	1.69935814
477	0.4321794744	1.699180987
478	0.4325964679	1.698400512
479	0.4328949183	1.697679291
480	0.4331292323	1.696574583
481	0.4330988057	1.696204984
482	0.4326790485	1.695970189
483	0.4331447166	1.694934728
484	0.4334104153	1.694110189
485	0.4339539759	1.693437747
486	0.4347837179	1.69273596
487	0.4347009259	1.692234445
488	0.4355003975	1.691356347
489	0.4359349296	1.690805412
490	0.4362328404	1.690573283
491	0.4357863955	1.690127528
492	0.4362716413	1.689742615
493	0.4361851921	1.689314393
494	0.4362722767	1.689202344
495	0.4368642289	1.688966103
496	0.437365361	1.688551452
497	0.4378359194	1.687561209
498	0.4377599021	1.687097232
499	0.4380315788	1.68661398
